Role	Absence Days	Absence detail	Absence Instances	Absence Type	Age	Area	Bradford Index	Ccy	Cost of termination	Country	Current Bonus	Current Employee	Current Salary	Customer Satisfaction	Date of birth	Department	Engagement index	Expenses	FTE	Full time/Part time/Contract	Gender	Grade	Healthcare costs	How recruited	id	Leave Date	parentid	Monthly cost Including payroll taxes	NI or Tax number	Other benefits	Other Unique Identifier	Payroll taxes	Pension	Performance Ranking	Personal Performance	Prior period performance ranking	Reason for leaving	Recruitment cost	Relocation costs	Role Start Date	Sales targets	Share based payments	Start Date	Successor	Team Engagement	Tenure Years	Total annual compensation	Total benefits	Total payroll cost	Training Cost	Training Day	Hours Worked Per Week	Revenue	Years to retirement	Email	Full Name	positiontitle	favourite_colour
CEO	8		5		42.18	Head Office	200	GBP		UK	208699	Y	408699	6.4	28/06/1970	Executive	07/01/1900	7500	1	Full time	Male	10	1500	Internal	1			63799	HA804326B	12500		85818	40870	8.2		8.2		0		19/03/1992		100000	15/02/2009	Yes	6.885	3.67	758086	54870	617398			40	138739		Reece.Harris@test.com	Reece Harris	Developer	String(node.Email).replace(/\s/g, "")
CFO	10		7		59.29	Head Office	490	GBP		UK	35317	Y	170634		23/05/1953	Executive	06/01/1900	3750	1	Full time	Female	9	2000	Head Hunter	2		1	21344	CH10056G	3000		28627	12798	2.6		2		45000		11/09/1994		50000	06/05/2008		7.55	4.45	252375	17798	205951			40	138739		Ava.Wilkins@test.com	Ava Wilkins	Developer	
Group Financial Controller	0		0		38.11	Head Office	#VALUE!	GBP		UK	22659	Y	122473	8	25/07/1974	Finance	08/01/1900	3946.09	1	Full time	Female	7	2500	Agency	4		2	14906	IG720732F	1000		20173	6124	8.7		6.525		13350		10/04/2001		0	17/05/2007	No	7.716666667	5.43	174929	9624	145132			40	138739		Molly.White@test.com	Molly White	Developer	
Financial Controller	6		3		60.49	Head Office	54	GBP		UK	295	Y	36769		13/03/1952	Finance	07/01/1900	0	1	Full time	Female	6	2500	Internal	7		4	3860	GE851018C	500		5152	1103	5.2		6.5		0		13/05/1998		0	09/08/2011		7.39	1.19	46319	4103	37064			40	138739		Sarah.Flynn@test.com	Sarah Flynn	Developer	
Finance Manager	8	Compassionate	6	Compassionate	57.64	Head Office	288	GBP	0	UK	9473	N	62894	5.3	18/01/1955	Finance	07/01/1900	17/02/1905	1	Full time	Female	6	1000	Advert	5	21/12/2010	7	7412	CD817384I	500		10059	3145	4.6		5.75	Career Development	500		27/01/2002		0	29/05/2009	No	7.455	1.56	87071	4645	72367			40	138739		Amber.Hutchinson@test.com	Amber Hutchinson	Developer	
Finance Assistant	3		1		36.93	Head Office	3	GBP		UK	0	Y	23161		27/09/1975	Finance	07/01/1900	0	1	Full time	Male	4	750	Advert	9		5	2299	AC193329C	0		3219	463	6.9		5.175		500		21/05/2003		0	15/07/2008			4.26	27594	1213	23161			40	138739		Jack.Little@test.com	Jack Little	Developer	
Finance Assistant	8		5		61.05	Head Office	200	GBP		UK	0	Y	26484		22/08/1951	Finance	07/01/1900	0	1	Full time	Female	4	750	Advert	10		5	2620	GA862051F	0		3681	530	9.9		10		500		09/05/1993		0	05/03/2010			2.62	31445	1280	26484			40	138739		Barbara.Gray@test.com	Barbara Gray	Developer	
Finance Assistant	9		5		36.9	Head Office	225	GBP	5000	UK	0	N	25765		08/10/1975	Finance	07/01/1900	00/01/1900	1	Full time	Male	4	2000	Advert	11	11/05/2010	5	2655	EG732477D	0		3581	515	6.7		7.37	Redundancy	500		03/07/1998		0	25/12/2008			1.38	31862	2515	25765			40	138739		Spencer.Sinclair@test.com	Spencer Sinclair	Developer	
Finance Assistant	0		0		36.97	Head Office	#VALUE!	GBP		UK	0	Y	22214		12/09/1975	Finance	07/01/1900	0	1	Full time	Female	4	1500	Advert	12		5	2270	EC836885I	0		3088	444	6.3		4.725		500		26/11/2004		0	02/12/2006			5.88	27246	1944	22214			40	138739		Frances.Bush@test.com	Frances Bush	Developer	
Sales Director	9	Stress	5	Sickness	60.7	Head Office	225	GBP		UK	26591	Y	212046		25/12/1951	Sales	06/01/1900	21301.25	1	Full time	Male	8	2000	Advert	58		1	26334	DJ241847A	5000		33171	15903	5.3		5.3		500		14/04/1998		50000	08/10/2006		7.092	6.03	294711	22903	238637			40	138739		Charles.Farias@test.com	Charles Farias	Developer	
Secretary	8	Other	4	Sickness	29.49	Head Office	128	GBP		UK	0	Y	33000		04/03/1983	Admin	06/01/1900	0	1	Full time	Female	2	1000	Advert	55		58	3216	IA808917H	0		4587	0	5		6.25		500		29/04/2006		0	06/10/2011			1.04	38587	1000	33000			40	138739		Libby.Lucas@test.com	Libby Lucas	Developer	
Sales manager	5		1		65.01	South	5	GBP		UK	78494	Y	110466	7.1	05/09/1947	Sales	05/01/1900	9000	1	Full time	Female	7	2000	Agency	59		58	19437	FG792294E	1500		26265	5523	4.4		3.3		15750		03/02/1997		0	11/05/2008	No	7.397	4.44	224249	9023	188960			40	97112		Chelsea.Walsh@test.com	Chelsea Walsh	Developer	
Secretary	7		4		32.3	Head Office	112	GBP		UK	0	Y	34000		13/05/1980	Admin	06/01/1900	0	1	Full time	Female	2	2000	Internal	56		59	3394	FD91303D	0		4726	0	6		6		0		29/07/2001		0	30/06/2011			1.3	40726	2000	34000			40	138739		Harriet.Humphries@test.com	Harriet Humphries	Developer	
Sales person	0		0		58.31	South	#VALUE!	GBP		UK	144692	Y	89646		18/05/1954	Sales	07/01/1900	9000	1	Full time	Male	6	2000	Agency	63		59	23392	IF814130F	1000		32573	1793	6		4.5		12600		09/03/2002		0	02/12/2010			1.88	271705	4793	234339			40	97112		Travis.Leong@test.com	Travis Leong	Developer	
Sales person	6		2		70.79	South	24	GBP		UK	83048	Y	85537		24/11/1941	Sales	06/01/1900	9000	1	Full time	Male	5	2000	Advert	64		59	17144	BC757894J	1000		23433	1711	5		5		500		21/01/2000		0	01/04/2010			2.55	196729	4711	168585			40	97112		Jason.Willis@test.com	Jason Willis	Developer	
Sales person	3	Upper limb	1	Sickness	55.79	South	3	GBP		UK	117861	Y	87857		20/11/1956	Sales	07/01/1900	11663.9	1	Full time	Male	4	2500	Advert	65		59	20936	CG86298B	1000		28595	1757	7.5		5.625		500		23/03/2000		0	29/12/2007			4.81	239570	5257	205718			40	97112		Charlie.Goodwin@test.com	Charlie Goodwin	Developer	
Sales person	0		0		63.39	South	#VALUE!	GBP		UK	73728	Y	84915		20/04/1949	Sales	08/01/1900	9000	1	Full time	Male	6	750	Advert	66		59	16095	BE46239I	1000		22051	1698	8.9		8.9		500		20/03/1991		0	22/03/2010			2.58	184142	3448	158643			40	97112		Declan.Reid@test.com	Declan Reid	Developer	
Sales person	0		0		30.98	South	#VALUE!	GBP		UK	73203	Y	84880		08/09/1981	Sales	08/01/1900	9000	1	Full time	Female	4	1500	Advert	67		59	16105	IB187557E	1000		21974	1698	7		7		500		25/07/2005		0	10/06/2007			5.36	184254	4198	158083			40	97112		Denise.Towner@test.com	Denise Towner	Developer	
Sales Assistant	6		3		28.49	South	54	GBP		UK	0	Y	54974		05/03/1984	Sales	07/01/1900	0	1	Full time	Female	3	1500	Agency	84		59	5343	HA709724B	0		7641	0	5		5		8550		14/10/2010		0	29/10/2007			4.98	64115	1500	54974			40	97112		Melba.Wilmore@test.com	Melba Wilmore	Developer	
Sales Assistant	5		3		69.94	South	45	GBP		UK	0	Y	57248		02/10/1942	Sales	07/01/1900	0	1	Full time	Male	4	1000	Agency	85		59	5517	HA54219D	0		7957	0	9		9		8700		02/10/1992		0	06/08/2010			2.2	66205	1000	57248			40	97112		Thomas.Miles@test.com	Thomas Miles	Developer	
Sales Assistant	8		5		30.33	South	200	GBP		UK	0	Y	56762		03/05/1982	Sales	06/01/1900	0	1	Full time	Male	3	1500	Internal	86		59	5513	GF359089B	0		7890	0	2		2.5		0		15/03/2008		0	02/02/2010			2.71	66152	1500	56762			40	97112		Jordan.Bell@test.com	Jordan Bell	Developer	
Sales Assistant	6	Injury	4	Sickness	32.12	South	96	GBP		UK	0	Y	50236		19/07/1980	Sales	07/01/1900	0	1	Full time	Male	5	500	Internal	87		59	4810	HH845926E	0		6983	0	7.7		5.775		0		14/02/2001		0	06/01/2010			2.78	57719	500	50236			40	97112		Ryan.Savage@test.com	Ryan Savage	Developer	
Sales manager	0		0		59.65	East	#VALUE!	GBP		UK	82404	Y	110987	7.9	11/01/1953	Sales	07/01/1900	9000	1	Full time	Female	7	750	Agency	60		58	19756	AF734742F	1500		26881	5549	7.8		6.956		15600		20/03/2006		0	24/01/2009	Yes	7.394444444	3.73	228072	7799	193391			40	126379		Hannah.Reid@test.com	Hannah Reid	Developer	
Sales person	10		5		32.44	East	250	GBP		UK	31065	Y	82071		24/03/1980	Sales	06/01/1900	9000	1	Full time	Female	5	1000	Agency	68		60	11792	FC639380I	1000		15726	1641	5		6.25		13200		31/05/2005		0	19/09/2009			3.08	132503	3641	113136			40	126379		Sarah.Cole@test.com	Sarah Cole	Developer	
Sales person	0		0		59.59	East	#VALUE!	GBP		UK	16607	Y	81107		03/02/1953	Sales	07/01/1900	9000	1	Full time	Male	6	750	Agency	69		60	10306	BF601572I	1000		13582	1622	6.3		6.3		12600		04/02/1992		0	10/06/2010			2.36	114669	3372	97714			40	126379		Cameron.Lane@test.com	Cameron Lane	Developer	
Sales person	8		4		62.62	East	128	GBP		UK	61910	Y	84127		23/01/1950	Sales	07/01/1900	9000	1	Full time	Male	7	750	Agency	70		60	14897	GC601780D	1000		20299	1683	5		3.75		13500		25/02/1997		0	10/11/2006			5.94	169769	3433	146037			40	126379		Archie.Rahman@test.com	Archie Rahman	Developer	
Sales person	6		4		59.9	East	96	GBP		UK	127448	Y	88497		15/10/1952	Sales	08/01/1900	9578.66	1	Full time	Female	5	1500	Internal	71		60	21651	IH243689B	1000		30016	1770	5		6.25		0		25/10/1990		0	25/01/2008			4.73	250230	4270	215944			40	126379		Rosa.Hall@test.com	Rosa Hall	Developer	
Sales person	0	Back pain	0	Sickness	61.1	East	#VALUE!	GBP		UK	56227	N	83748		04/08/1951	Sales	07/01/1900	9000	1	Full time	Female	4	1000	Internal	72	10/01/2012	60	14342	AH73250B	1000		19457	1675	6.6		8.25	Performance	0	5000	26/09/2003		0	08/08/2010			1.42	163107	3675	139976			40	126379		Danielle.Williams@test.com	Danielle Williams	Developer	
Sales Assistant	7		4		32.45	East	112	GBP		UK	0	Y	58987		19/03/1980	Sales	08/01/1900	0	1	Full time	Female	3	1500	Internal	88		60	5724	HG141542B	0		8199	0	6		7.5		0		23/03/2004		0	06/12/2007			4.87	68686	1500	58987			40	126379		Stephanie.Mercado@test.com	Stephanie Mercado	Developer	
Sales Assistant	0		0		58.48	East	#VALUE!	GBP		UK	0	Y	57640		14/03/1954	Sales	06/01/1900	0	0.8	Part time	Female	4	1500	Agency	89		60	5596	AH184053F	0		8012	0	7.2		5.4		8550		27/03/1999		0	24/06/2009			3.32	67152	1500	57640			25	126379		Samantha.McKenzie@test.com	Samantha McKenzie	Developer	
Sales Assistant	5	Other	1	Sickness	57.93	East	5	GBP		UK	0	Y	54955		03/10/1954	Sales	06/01/1900	0	1	Full time	Female	5	1500	Advert	90		60	5341	IC625787B	0		7639	0	5.8		5.8		500		24/10/1992		0	12/12/2006			5.85	64093	1500	54955			40	126379		Evie.Dickinson@test.com	Evie Dickinson	Developer	
Sales Assistant	0		0		55.76	East	#VALUE!	GBP		UK	0	Y	52183		04/12/1956	Sales	08/01/1900	0	1	Full time	Male	3	2000	Internal	101		60	5120	GF537373G	0		7253	0	7		7		0		11/07/1995		0	01/04/2011			1.55	61437	2000	52183			40	126379		Kyle.Yates@test.com	Kyle Yates	Developer	
Sales manager	5	Long-term treatment	4	Sickness	57.32	West	80	GBP		UK	55593	Y	107412	7.6	15/05/1955	Sales	08/01/1900	9000	1	Full time	Female	7	750	Agency	61		58	16857	CA644359A	1500		22658	5371	5		3.75		17550		18/10/1991		0	10/01/2011	No	7.586666667	1.77	193284	7621	163005			40	140785		Whitney.Kowalski@test.com	Whitney Kowalski	Developer	
Sales person	9		5		62.35	West	225	GBP		UK	102617	Y	86841		03/05/1950	Sales	06/01/1900	9000	1	Full time	Male	5	1500	Internal	73		61	19086	BB939680D	1000		26335	1737	6		4.5		0	0	01/08/1997		0	08/12/2010			1.86	220030	4237	189458			40	140785		Mohammed.Hilton@test.com	Mohammed Hilton	Developer	
Sales person	7		4		58.78	West	112	GBP		UK	23462	Y	81564		27/11/1953	Sales	07/01/1900	9000	1	Full time	Female	6	1500	Agency	74		61	11063	FF463089E	1000		14599	1631	4		4		12150		22/07/1998		0	15/06/2010			2.35	123756	4131	105026			40	140785		Sophia.Hopkins@test.com	Sophia Hopkins	Developer	
Sales person	0		0		29.08	West	#VALUE!	GBP		UK	54197	Y	83613		31/07/1983	Sales	08/01/1900	9000	1	Full time	Male	7	1500	Advert	75		61	14178	HJ974418C	1000		19156	1672	8.8		10		500		12/03/2007		0	23/06/2008			4.32	161138	4172	137810			40	140785		David.Jones@test.com	David Jones	Developer	
Sales person	6	Flu	4	Sickness	56.98	West	96	GBP		UK	124438	Y	88296		16/09/1955	Sales	07/01/1900	9627.07	1	Full time	Female	4	1500	Internal	76		61	21350	DH750588A	1000		29570	1766	5.7		7.125		0	0	30/03/1997		0	07/03/2008			4.62	246570	4266	212734			40	140785		Ana.Robinson@test.com	Ana Robinson	Developer	
Sales person	8		5		30.98	West	200	GBP		UK	101499	Y	86767		07/09/1981	Sales	08/01/1900	10107.52	1	Full time	Female	5	1000	Agency	77		61	19023	EH374877B	1000		26169	1735	9.8		9.8		12750		29/09/2002		0	29/06/2011			1.31	218170	3735	188265			40	140785		Wendy.Smith@test.com	Wendy Smith	Developer	
Sales person	5		2		55.22	West	20	GBP		UK	103711	Y	86914		17/06/1957	Sales	07/01/1900	11609.28	1	Full time	Male	6	1500	Agency	78		61	19414	GE855776B	1000		26497	1738	9.3		7.568		13350		10/10/2006		0	16/12/2008			3.84	221360	4238	190625			40	140785		Michael.Redmon@test.com	Michael Redmon	Developer	
Sales person	4		2		23.5	West	16	GBP		UK	50593	Y	83373		27/02/1989	Sales	06/01/1900	9306.09	1	Full time	Female	4	1500	Advert	79		61	13838	CB495965D	1000		18621	1667	6		6		500		07/09/2010		0	09/08/2010			2.19	156754	4167	133965			40	140785		Connie.Jameson@test.com	Connie Jameson	Developer	
Sales Assistant	7	Stress	5	Sickness	54.6	West	175	GBP		UK	0	N	53456		29/01/1958	Sales	07/01/1900	0	1	Full time	Male	3	750	Internal	91	11/09/2012	61	5136	DB32299B	0		7430	0	5		5	Performance	0	0	14/12/2000		0	27/07/2010			2.13	61637	750	53456			40	140785		Jake.Turner@test.com	Jake Turner	Developer	
Sales Assistant	0		0		26.47	West	#VALUE!	GBP		UK	0	Y	52612		10/03/1986	Sales	07/01/1900	0	1	Full time	Male	4	500	Agency	92		61	5035	AE697188J	0		7313	0	8.1		6.075		8250		24/10/2009		0	23/12/2010			1.82	60425	500	52612			40	140785		Steven.Bradford@test.com	Steven Bradford	Developer	
Sales Assistant	8	Stress	4	Sickness	22.79	West	128	GBP		UK	0	Y	57210		15/11/1989	Sales	07/01/1900	0	1	Full time	Male	3	2000	Agency	93		61	5597	FC934339C	0		7952	0	6		4.5		7650		10/08/2011		0	10/05/2009			3.44	67162	2000	57210			40	140785		Frank.Reeve@test.com	Frank Reeve	Developer	
Sales Assistant	8		4		23.3	West	128	GBP		UK	0	Y	55689		10/05/1989	Sales	08/01/1900	0	1	Full time	Female	4	1000	Advert	94		61	5369	HJ483005H	0		7741	0	4		4		500		15/06/2010		0	18/02/2008			4.67	64430	1000	55689			40	140785		Christine.Giddings@test.com	Christine Giddings	Developer	
